"DEPARTAMENTO","LOCALIDAD"
"Canelones","Villa Foresti"
"Rio Negro","Villa Sandu"
"Artigas","Diego Lamas"
"Florida","Paraje Arias"
"Colonia","El Caño"
"Colonia","Polancos"
"Cerro Largo","Lago Merín"
"Canelones","Ruta 62 km. 51.700"
"Canelones","Laguna del Cisne"
"Canelones","Con Carambula y Aº Colorado"
"Canelones","Cuchilla de la Sierra"
"San Jose","Cagancha"
"Florida","Isla Mala"
"Canelones","Paso del Sordo"
"Artigas",NA
"Colonia","Playa Calabres"
"Canelones","San Jose de Carrasco"
"Canelones","Bolivar"
"Florida","Paso Ancho"
"Lavalleja","Pueblo Colon"
"Canelones","El Colorado"
"Rio Negro","Esteros de Farrapos"
"Rivera","Lunarejo"
"Florida","Paso Severino"
"Rivera","Curticeiras"
"Lavalleja",NA
"Rocha","Oceania del Polonio"
"Canelones","Estacion Margat"
"Florida","Molles del Pintado"
"Colonia","Rio Uruguay"
"Canelones","Biarritz"
"San Jose","Mal Abrigo"
"Canelones","Paso Garúa"
"Canelones, Florida, Lavalleja",NA
"Cerro Largo",NA
"Rio Negro","Menafra"
"Durazno","Paraje Batovi"
"Lavalleja","Villa Rosario"
"Cerro Largo","Vergara"
"Tacuarembó","Cerro la Aldea"
"San Jose","Rafael Perazza"
"Colonia","Piedras de los Indios"
"Rivera","Parada Medina"
"Colonia","Blancarena"
"Durazno","Rincón del Tala"
"Paysandú",NA
"San Jose","San Gregorio"
"San Jose","Puntas de Sayago"
"Rivera","Pueblo Abrojal"
"Paysandú","Puente Internacional"
"Maldonado","Sierra de las Animas"
"Canelones","Puntas de Predera"
"Maldonado","Sierra de los Caracoles"
"Flores","Parque Andresito"
"Paysandú","Pueblo Esperanza"
"Durazno","Santa Bernardina"
"San Jose","Ruta 1 Km 48,500"
"Canelones","Villa Guadalupe"
"Rocha","Puerto Los Botes"
"San Jose","paraje Pachina"
"Canelones","Ruta 5 Km 35"
"San Jose","Ruta 3 Km 128"
"Canelones","Piedra del Toro"
"San Jose",NA
"Tacuarembó","Ruta 5 Km 318"
"Maldonado",NA
"Florida","Ruta 12 K 17,500"
"San Jose","Punta de Valdez"
"Colonia",NA
"Colonia","Zona este"
"Lavalleja","Río Santa Lucia"
"Florida",NA
"Colonia","Juan Gonzalez"
"Soriano",NA
"Soriano","La Agraciada"
"Colonia","Polanco"
"Rivera",NA
"Colonia","Playa El Calabres"
"Colonia","Ferrando"
"Salto","Ceibal"
"Colonia","Playa El Alamo"
"Tacuarembó","Paso Santander"
"Canelones","Sierra del Mar"
"Colonia","Camino Viejo"
"San Jose","Santa Monica"
"Salto",NA
"Soriano","Tala"
"Treinta y tres",NA
"Maldonado","Paraje las Rosas"
"Durazno",NA
"Colonia","Santa Ana"
"Canelones","Cuidad de la Costa"
"Canelones","Carrasco"
"Rocha","Santa Rita"
"San Jose","Cufre"
"Lavalleja","Polanco"
"Lavalleja","Paso La Calera"
"Salto","Nuevo Uruguay"
"Paysandú","Casablanca"
"Rocha","San Antonio"
"San Jose","Villa Maria"
"Colonia","Brisas del plata"
"Canelones","Píedras de Afilar"
"San José","Balneario Arazati"
"Rocha","Cebollati"
"San José","Balneario Boca Cufre"
"Rocha","Juan Lacaze"
"Colonia","Balneario Blanca Arena"
"Lavalleja","Arequita"
"Colonia","Bitropolis"
"Lavalleja","Aguas Blancas"
"San José","Santas Lucia del Este"
"Rocha","Paraje arroyitos"
"Canelones","Camino Carrasco"
"Canelones","La Puebla"
"Colonia","Campana"
"Maldonado","Capuera"
"Colonia","Laguna de los Patos"
"San José","Cuidad de la costa"
"Canelones","Ruta 33 y 11"
"Canelones","Mariandia Norte"
"Canelones","guazuvira"
"Canelones","San jose de carrasco"
"Canelones","Paso Picón"
"San José","Cuidad del plata"
"Colonia","La paz"
"Artigas","Paso de la Cruz"
"Salto","Rio Dayman"
"Canelones","Ciudad del Plata"
"Florida","La Macana"
"Rivera","Santa Tereza"
"Canelones","Laguan de los Cisnes"
"Rivera","Paso Hospital"
"Rocha","Balneario Puimayen"
"Canelones","Paraje Cuchilla de Sierra"
"Cerro Largo","Lago merin"
"Paysandú","Costa de Sacra"
"Maldonado","Aguas Dulces"
"San José","Costas del Tigre"
"Rivera","Cerro Carancho"
"Maldonado","Balnerio buenos aires"
"Canelones","Epalme Olmos"
"Maldonado","Montevideo"
"Canelones","Lomas de solis chico"
"Paysandú","Payandu"
"Canelones","Pedrada"
"Rocha","La coronilla"
"Rocha","Velazquez"
"Rocha","Archania"
"Maldonado","Playa Bikini"
"Treinta y Tres","Trienta y Tres"
"Lavalleja","villa serrana"
"Colonia","Brisas del Plata"
"Canelones","Remanso de Neptunia"
"Río Negro","Los arrayanes"
"Río Negro","Rio Negro"
"Canelones","San Francisco"
"Canelones","Piedras Blancas"
"Canelones","Jaugueriberry"
"Canelones","LosTitanes"
"Cerro Largo","Cerro largo"
"Canelones","Cuidad de la Plata"
"San José","Arazati"
"Salto","Rio Arapey"
"Maldonado","punta del  este"
"Maldonado","Gregorio aznarez"
"San José","Cuidad de la Plata"
"Salto","Itapebi"
"Durazno","Druazno"
"Lavalleja","lavalleja"
"Canelones","cuidad de la costa"
"Canelones","lomas del solis"
"Canelones","Cuidad de lescano"
"Flores","flores"
"Rocha","Laguna Merin"
"Río Negro","Rio negro"
"Canelones","Barrio cspola"
"Florida","valentines"
"Paysandú","paysansu"
"Canelones","sol y mar"
"Canelones","Cuidad del plata"
"Durazno","Santa bernardina"
"Rocha","Garzón"
"San José","Arazatí"
"Colonia","Agraciada"
"Artigas","Paso Campamento"
"Canelones","Cuchilla de Sierra"
"Florida","Minas"
"Canelones","Castellanos"
"Cerro Largo","Mangrullo"
"Florida","Alejandro Gallinal"
"Canelones","Aeropuerto Carrasco"
"Rocha","18 de Julio"
"Durazno","San Gregorio"
"San José","Raafel Perazza"
"Florida","Paso Pache"
"Tacuarembó","Cerro de la Aldea"
"Rocha","Canal Andreoni"
"Cerro Largo","Balneario Lago Merín"
"Rocha",NA
"Río Negro","Paraje las viboras"
"Rocha","Punta Coronilla"
"Rocha","Playa del Chancho"
"Colonia","N/A"
"Río Negro","Arrayanes"
"Lavalleja","Salto del Penitente"
"N/A - (No aplica)","no identifica"
"Paysandú","Paso Gallardo"
"Maldonado","Jaureguiberry"
"Rocha","Cerro verde"
"Salto","Daymán"
"Canelones","Rincón del Colorado"
"Tacuarembó","Barrio Lopez"
"San José","Rincón del Pino"
"Rivera","sin información"
"Cerro Largo","Centurion"
"Canelones","Nuevo Guazuvirá"
"Maldonado","Gerona"
"Tacuarembó","Paraje Picada de Oribe"
"Lavalleja","Villa Serrana"
"Lavalleja","Villa Serana"
"N/A - (No aplica)","No especifica"
"Salto","Cerro Vera"
"Lavalleja","Pirarajá"
"Lavalleja","Punta de Solís"
"Canelones","Paso de Pache"
"Canelones","Lago Jardin de Bosque"
"Colonia","Localidades varias"
"N/A - (No aplica)",NA
"Colonia","Ruta 1 km 171"
"San José","Chamizo"
"Colonia","LaPaz"
"Canelones","Guazuvira Nuevo"
"Rocha","Puimayén"
"Maldonado","Balneario Chihuahua"
"Rocha","Paralle"
"Durazno","Puntas de Maciel"
"Maldonado","Buenos Aires"
"Cerro Largo","La Pedrera"
"Rocha","El Canelon"
"Maldonado","Montoya"
"Canelones","La Piedras"
"Paysandú","Meseta de Artigas"
"Canelones","Bello Horizante"
"Canelones","Bello Orizonte"
"Rocha","Barra de Balizas"
"San José","Rincón de Buschental"
"San José","Punta de Valdez"
"Rocha","Laguna Garzón"
"Rivera","Parada Mulattieri"
"Paysandú","San Félix y Casablanca"
"Soriano","Pueblo Castillo"
"Canelones","Balneario Buenos Aires"
"San José","Ecilda Poullier"
"Treinta y Tres","Rio Olimar"
"Canelones","Mendoza"
"Lavalleja","Ruta 8 km 86"
"Lavalleja","Solís del Mataojo"
"Rocha","Cebollatí"
"Maldonado","Entre playa Chihuahua y Solanas"
"Lavalleja","Ruta 8 km 83-86"
"Salto","Colonia de Garibaldi"
"Maldonado","El Placer"
"San José","Playa Penino-Reserva Natural"
"Rocha","La Aguada"
"Durazno","Barrio la Violetas-Santa Bernandina"
"Maldonado","Barrio la Sonrisa"
"Florida","Santa Teresa Km 106 a 108"
"Tacuarembó","Tacarembó"
"Maldonado","Isla de Lobos"
"Durazno","Santa Bernandina"
"Maldonado","Playa Chihuahua"
"Rocha","Arroyo Sauce"
"Artigas","La Bolsa"
"Canelones","Arroyo Carrasco"
"Treinta y Tres","Villa Sera"
"Colonia","Y Soriano"
"Cerro Largo","San Ramón"
"Colonia","Playa Fomento"
"Colonia","Barrio Santa Ana"
"Cerro Largo","Centurión"
"Durazno","Santa bernandina"
"Treinta y Tres","Bañado de Olivera"
"Canelones","Canelnes"
"Maldonado","Pirápolis"
"Colonia","Nueva Plamira"
"Treinta y Tres","Los membrillos"
"Rocha","Antoniópolis"
"Tacuarembó","Aparicio Saravia"
"Río Negro","Río Negro"
"Colonia","Playa Piamonteses"
"Treinta y Tres","Qubrada de los Cuervos"
"Lavalleja","Solís"
"Canelones","Balneario Santa Ana"
"Canelones","Miguez"
"Salto","Laureles"
"Colonia","Punta Gorda"
"Colonia","Punta gorda"
"Canelones","Barrio Las Higueritas"
"Lavalleja","La Calera"
"Cerro Largo","Paraje Arbolito"
"Rivera","Melo"
"Paysandú","Camino a Paso Guerrero"
"Artigas","Paraje Colonia Emilio Frugoni"
"Lavalleja","Paraje Gaetán"
"Rivera","Paraje Curticeiras"
